,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,1.3085436616171635,1.247721409670353,1.1987304119561477,1.159269231545857,1.127484111176243,1.1018818897929363,1.0812598587250135,1.0646492623631036,1.0512697891875697,1.0404929152840343,1.031812378344427,1.0248203951186454,1.0191885050904435,1.0146521404760656,1.0109981976945956,1.0080550264583288,1.0056843662033523,1.0037748510602058,1.002236778249371,1.000997894137915,1.0,0.999196218030987,0.9985487891814095
BG,1.057443572849648,1.052853733974231,1.0485073038808865,1.0443913740913873,1.0404937206911804,1.0368027680255387,1.0333075543209844,1.029997699129877,1.0268633725014866,1.0238952657879872,1.02108456399867,1.0184229196202723,1.0159024278256672,1.0135156029972892,1.0112553564955729,1.0091149756063758,1.0070881036048656,1.0051687208766602,1.0033511270401536,1.0016299240169315,1.0,0.9984565142722114,0.9969948828298006
HR,1.3799348801279459,1.3665122208975675,1.3526185773280355,1.3382374231674403,1.3233516522783453,1.3079435582903274,1.2919948135385515,1.2754864472633258,1.2583988230447074,1.2407116154453157,1.2224037858335715,1.203453557358604,1.1838383890470576,1.1635349489909899,1.1425190865949646,1.1207658038493304,1.098249225595516,1.0749425687479697,1.0508181104361363,1.0258471550285757,1.0,0.9732459006006254,0.9455530332858173
CY,2.1196209550850944,1.9262151191515995,1.7653831879821948,1.6316389813566268,1.5204203155367049,1.4279333814193003,1.3510233329182064,1.2870666711811898,1.233881753732009,1.1896543758912572,1.15287588596434,1.1222917232275207,1.0968586232777684,1.0757090309668635,1.0581215070000163,1.043496118730715,1.0313339757007447,1.0212202118568179,1.0128098339457325,1.005815953358957,1.0,0.9951635843572275,0.9911417301871575
CZ,1.3291369230443748,1.2936869120235708,1.2615024107596389,1.2322826138743814,1.2057544249484735,1.181669904085711,1.159803950597181,1.1399521991470711,1.1219291096969048,1.1055662333962903,1.0907106382127054,1.0772234795858162,1.064978702747264,1.0538618645774345,1.0437690639879558,1.0346059708329758,1.0262869442731557,1.0187342323523587,1.0118772453060543,1.0056518958095748,1.0,0.9948687336734503,0.9902101385752571
DK,,,,,,,,1.1998601831711218,1.1357691729325923,1.0920901987186784,1.0623223298509659,1.0420350856362643,1.0282090277597011,1.0187863642188562,1.0123646792384637,1.0079882056640184,1.0050055740017205,1.002972866279027,1.0015875458124979,1.0006434293644917,1.0,0.9995614933433643,0.9992626445519889
EE,1.2214504262079655,1.2078813377542972,1.1946110844618165,1.1816330850149195,1.1689409030398332,1.1565282439125268,1.1443889516369241,1.13251700579187,1.1209065185453302,1.1095517317343522,1.0984470140093334,1.0875868580411803,1.0769658777899773,1.0665788058338062,1.0564204907563954,1.0464858945923012,1.0367700903283532,1.027268259460127,1.0179756896022316,1.0088877721512248,1.0,0.9913079653025089,0.9828073572877122
FI,1.2478890007614782,1.2465623870588012,1.2449703506593783,1.2430597870250866,1.2407669667089178,1.2380154095726459,1.2347133336878595,1.230750593824983,1.225995007409425,1.2202879453921314,1.2134390409620315,1.2052198396022953,1.1953561786793896,1.1835190423757744,1.1693135869200848,1.1522659700364342,1.1318075452912193,1.1072558941183785,1.0777920628205246,1.0424332452551823,1.0,0.9490769084809173,0.8879653617616822
FR,1.5393911160369866,1.4925448089623878,1.44867004883107,1.4075783449852302,1.3690931630742538,1.3330491666442816,1.2992915068351354,1.2676751571330682,1.238064290321366,1.210331694952108,1.1843582288321959,1.1600323071757594,1.1372494232239934,1.1159116992729543,1.0959274661804863,1.07721086954579,1.0596815008697436,1.0432640521113972,1.0278879921565833,1.013487263808713,1.0,0.9873682580039281,0.9755377705071056
DE,1.6366723500347573,1.562982153867692,1.496838136924211,1.4374675394094376,1.3841767353103587,1.336343128771032,1.2934078803123077,1.2548693779165758,1.220277376700287,1.18922773870812,1.1613577113738633,1.1363416894863243,1.1138874111473638,1.093732543279477,1.075641616791444,1.0594032755956238,1.044827807337196,1.0317449269868855,1.020001787402909,1.0094611936195617,1.0,0.9915076715271722,0.9838849924244752
