,coldest_year,coldest_week_commencing,coldest_week_mean_temp,2ndcoldest_year,2ndcoldest_week_commencing,2ndcoldest_week_mean_temp
AT,2012,2012-02-02 00:00:00,-10.96939939101035,2006,2006-01-22 00:00:00,-9.606078800511304
BE,2012,2012-02-02 00:00:00,-5.422928506340996,2009,2009-01-05 00:00:00,-3.617044008075279
CZ,2006,2006-01-22 00:00:00,-13.23953096769666,2012,2012-02-01 00:00:00,-13.016691124928387
DE,2012,2012-02-01 00:00:00,-8.340725726900375,2003,2003-01-06 00:00:00,-5.84146515945259
DK,2012,2012-02-02 00:00:00,-6.6618125659770895,2010,2010-12-21 00:00:00,-5.708893658890742
EE,2011,2011-02-15 00:00:00,-17.52598739067706,2012,2012-01-30 00:00:00,-17.178924860407392
GB,2010,2010-12-17 00:00:00,-1.2150064863659886,2010,2010-01-03 00:00:00,-1.1350968322490593
GR,2002,2002-01-02 00:00:00,0.9237487363175289,2006,2006-01-23 00:00:00,1.7104212826546685
HR,2012,2012-02-04 00:00:00,-8.205949337110258,2003,2003-01-07 00:00:00,-6.26454938450643
HU,2006,2006-01-22 00:00:00,-8.711588135505421,2012,2012-02-02 00:00:00,-8.273052504867081
IE,2010,2010-12-19 00:00:00,-1.1037551036832018,2010,2010-01-03 00:00:00,-0.03629528093191354
IT,2012,2012-02-04 00:00:00,0.9048822422185249,2017,2017-01-06 00:00:00,1.8081919822861237
LT,2006,2006-01-18 00:00:00,-19.605456685705274,2012,2012-01-31 00:00:00,-17.914577773099783
LV,2006,2006-01-18 00:00:00,-18.498714265474153,2012,2012-01-31 00:00:00,-18.006582290868437
NL,2012,2012-02-01 00:00:00,-5.582857382036731,2013,2013-01-19 00:00:00,-3.104717169492731
PL,2010,2010-01-21 00:00:00,-14.285714244819204,2012,2012-01-31 00:00:00,-13.494082634784137
RO,2012,2012-01-27 00:00:00,-12.595346652292903,2010,2010-01-21 00:00:00,-10.872944812748331
SI,2012,2012-02-02 00:00:00,-9.331894715245776,2018,2018-02-24 00:00:00,-9.25832312687143
SK,2012,2012-01-31 00:00:00,-12.946077782866386,2006,2006-01-22 00:00:00,-12.416231002417465
CH,2012,2012-02-03 00:00:00,-11.640678187704452,2005,2005-01-24 00:00:00,-8.121174525640535
FI,2011,2011-02-13 00:00:00,-19.931425812667218,2002,2002-12-31 00:00:00,-19.757729730686638
NO,2010,2010-01-04 00:00:00,-11.677697386302857,2001,2001-01-31 00:00:00,-11.440138512386202
SE,2010,2010-01-03 00:00:00,-12.422473895494509,2002,2002-12-31 00:00:00,-11.92588837274843
PT,2009,2009-01-06 00:00:00,5.902668266923752,2003,2003-01-10 00:00:00,5.992248924287508
BG,2012,2012-01-27 00:00:00,-12.605866306678958,2017,2017-01-06 00:00:00,-11.337755902563922
ES,2012,2012-02-08 00:00:00,3.8502182978294455,2005,2005-01-25 00:00:00,3.8590518433472387
FR,2012,2012-02-02 00:00:00,-4.996767650183914,2003,2003-01-06 00:00:00,-3.0391093068088675
LU,2012,2012-02-02 00:00:00,-7.89700007937694,2001,2001-12-31 00:00:00,-6.767245171393396
UA,2006,2006-01-20 00:00:00,-17.379820292932468,2010,2010-01-21 00:00:00,-15.827307537111398
