country,1,2,3,4,5,6,7,8,9,10,11,12
AT,482,406,315,171,78,26,13,15,62,181,287,431
BE,366,317,264,161,75,19,4,4,33,119,224,328
BG,502,386,304,163,53,8,1,1,28,147,250,422
CZ,503,416,325,173,71,16,3,5,51,187,292,437
DE,401,344,274,147,58,12,1,2,31,134,241,351
DK,427,393,355,229,110,29,2,3,34,147,255,365
EE,474,416,372,206,56,5,0,0,13,140,241,363
ES,175,152,106,46,14,1,0,0,1,13,78,156
FR,356,311,247,150,70,16,3,4,28,104,211,320
GB,301,270,248,171,90,26,5,5,26,90,193,270
GR,287,234,194,92,17,0,0,0,3,41,112,236
HR,523,438,349,202,100,24,6,6,72,209,318,471
HU,521,414,309,144,50,7,1,1,39,178,302,465
IE,225,204,197,135,65,15,2,2,16,62,152,207
IT,287,241,173,74,22,4,2,2,10,49,134,259
LT,595,493,428,245,87,25,2,7,68,254,340,480
LV,519,436,375,199,55,8,0,0,26,184,274,401
NL,335,299,247,141,61,11,0,1,14,88,192,290
PL,521,434,362,200,83,22,4,7,61,208,306,444
RO,530,417,305,140,42,6,1,2,32,161,275,451
SI,486,411,312,157,63,11,3,4,52,176,282,441
SK,507,410,317,155,58,13,4,6,48,178,284,447
CH,556,496,426,292,188,92,59,65,153,272,390,520
FI,620,536,497,326,136,37,4,11,74,264,368,507
NO,440,393,350,221,107,33,8,11,47,172,281,391
PT,73,62,31,10,1,0,0,0,0,0,23,64
SE,500,442,397,248,109,26,2,7,49,196,304,429
